,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,3 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,2 ,3 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,7 ,  ,  ,
,  ,  ,n ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,4 ,  ,  ,
,  ,n ,n ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,2 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,6 ,  ,  ,
,  ,n ,n ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,5 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,2 ,6 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,7 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,4 ,  ,  ,
,  ,  ,  ,  ,hc,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,4 ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,4 ,  ,  ,
,  ,  ,n ,  ,h ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,0 ,  ,  ,  ,
,  ,n ,n ,  ,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,3 ,7 ,  ,  ,

 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18      l       c1 c2 c3 i2 exam
 7  14 21 28 5  12 19 26 2  9  16 23 30 7  14 21 28                 =3 =7
 sep         oct         nov                                        2  6

@n=9
#@n=18
@p=1
@a=3
@b=2
@c=1
@h=1

vim: set nowrap:
