,  ,  ,a ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,b ,n ,  ,c ,c ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,b ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,c ,  ,  ,  ,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,n ,  ,  ,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,n ,b ,  ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,  ,  ,  ,  ,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,n ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,c ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,b ,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,n ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,  ,n ,  ,  ,  ,n ,  ,n ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,n ,n ,n ,c ,  ,  ,n ,n ,n ,n ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,
,  ,  ,  ,  ,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  ,    ,  ,  ,

 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16      l       c1 c2 exam
       31 31 14 14 28 28 12 12
       oct   nov         dec

@n=10
#@n=16
@p=1
@a=3
@b=2
@c=1
@h=1

vim: set nowrap:
